C:\AI\TrainRTX5070_60min\train.py:90: UserWarning: expandable_segments not supported on this platform (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\c10/cuda/CUDAAllocatorConfig.h:39.)
  a = torch.randn(n, n, device=device, dtype=dtype)
W0326 09:25:28.553000 33636 .venv\Lib\site-packages\torch\distributed\elastic\multiprocessing\redirects.py:29] NOTE: Redirects are currently not supported in Windows or MacOs.
torch.compile enabled.
Using PyTorch SDPA attention backend.
GPU: NVIDIA GeForce RTX 5070
GPU VRAM: 11.9 GB
GPU CC: 12.0
GPU profile: blackwell-10-15gb
Consumer matrix support: yes
TF32: enabled
AMP dtype: torch.bfloat16
GPU peak FLOPS: 66.0 TFLOPS (torch.bfloat16, measured)
Vocab size: 50,257
Dataset: climbmix
Attention backend: sdpa
torch.compile: enabled
Trying train candidate: batch_size=4, activation_checkpointing=enabled
Model config: {'sequence_len': 2048, 'vocab_size': 50257, 'n_layer': 16, 'n_head': 6, 'n_kv_head': 6, 'n_embd': 768, 'window_pattern': 'SSSL', 'short_window': 256, 'attention_backend': 'sdpa', 'use_activation_checkpointing': True, 'compute_dtype': torch.bfloat16}
Parameter counts:
  wte                     : 38,597,376
  value_emb               : 38,597,376
  lm_head                 : 38,597,376
  transformer_matrices    : 113,247,360
  scalars                 : 32
  total                   : 229,039,520
Estimated FLOPs per token: 1.014877e+09
Scaling AdamW LRs by 1/sqrt(768/768) = 1.000000
MXFP8 cuBLAS training enabled (skipped layers with dims not divisible by 32)
Time budget: 3600s
Gradient accumulation steps: 16

step 00000 (0.0%) | loss: 10.825375 | lrm: 0.00 | dt: 127719ms | tok/sec: 1,026 | mfu: 1.6% | epoch: 1 | remaining: 3600s    
step 00001 (0.0%) | loss: 10.825907 | lrm: 0.00 | dt: 2481ms | tok/sec: 52,825 | mfu: 81.2% | epoch: 1 | remaining: 3600s    
step 00002 (0.0%) | loss: 10.825649 | lrm: 0.00 | dt: 2437ms | tok/sec: 53,789 | mfu: 82.7% | epoch: 1 | remaining: 3600s    
step 00003 (0.0%) | loss: 10.825500 | lrm: 0.00 | dt: 2434ms | tok/sec: 53,860 | mfu: 82.8% | epoch: 1 | remaining: 3600s    
step 00004 (0.0%) | loss: 10.825653 | lrm: 0.00 | dt: 2435ms | tok/sec: 53,838 | mfu: 82.7% | epoch: 1 | remaining: 3600s    
step 00005 (0.0%) | loss: 10.825556 | lrm: 0.00 | dt: 2436ms | tok/sec: 53,807 | mfu: 82.7% | epoch: 1 | remaining: 3600s    
step 00006 (0.0%) | loss: 10.825661 | lrm: 0.00 | dt: 2434ms | tok/sec: 53,855 | mfu: 82.8% | epoch: 1 | remaining: 3600s    
step 00007 (0.0%) | loss: 10.825645 | lrm: 0.00 | dt: 2437ms | tok/sec: 53,788 | mfu: 82.7% | epoch: 1 | remaining: 3600s    
step 00008 (0.0%) | loss: 10.825635 | lrm: 0.00 | dt: 2433ms | tok/sec: 53,874 | mfu: 82.8% | epoch: 1 | remaining: 3600s    
step 00009 (0.0%) | loss: 10.825606 | lrm: 0.00 | dt: 2433ms | tok/sec: 53,877 | mfu: 82.8% | epoch: 1 | remaining: 3600s    
step 00010 (0.0%) | loss: 10.825648 | lrm: 0.00 | dt: 2438ms | tok/sec: 53,758 | mfu: 82.6% | epoch: 1 | remaining: 3600s    
step 00011 (0.0%) | loss: 10.825783 | lrm: 0.00 | dt: 2435ms | tok/sec: 53,830 | mfu: 82.7% | epoch: 1 | remaining: 3598s    
step 00012 (0.1%) | loss: 10.825690 | lrm: 0.01 | dt: 2433ms | tok/sec: 53,877 | mfu: 82.8% | epoch: 1 | remaining: 3595s    
step 00013 (0.1%) | loss: 10.818745 | lrm: 0.03 | dt: 2441ms | tok/sec: 53,704 | mfu: 82.5% | epoch: 1 | remaining: 3593s    
step 00014 (0.2%) | loss: 10.807785 | lrm: 0.04 | dt: 2440ms | tok/sec: 53,715 | mfu: 82.5% | epoch: 1 | remaining: 3590s    
step 00015 (0.3%) | loss: 10.791496 | lrm: 0.05 | dt: 2439ms | tok/sec: 53,742 | mfu: 82.6% | epoch: 1 | remaining: 3588s    
step 00016 (0.3%) | loss: 10.759168 | lrm: 0.07 | dt: 2438ms | tok/sec: 53,757 | mfu: 82.6% | epoch: 1 | remaining: 3585s    
step 00017 (0.4%) | loss: 10.705349 | lrm: 0.08 | dt: 2456ms | tok/sec: 53,367 | mfu: 82.0% | epoch: 1 | remaining: 3583s    
step 00018 (0.5%) | loss: 10.633051 | lrm: 0.09 | dt: 2477ms | tok/sec: 52,923 | mfu: 81.3% | epoch: 1 | remaining: 3580s    
step 00019 (0.5%) | loss: 10.537039 | lrm: 0.11 | dt: 2474ms | tok/sec: 52,980 | mfu: 81.4% | epoch: 1 | remaining: 3578s    
step 00020 (0.6%) | loss: 10.410185 | lrm: 0.12 | dt: 2459ms | tok/sec: 53,293 | mfu: 81.9% | epoch: 1 | remaining: 3576s    
step 00021 (0.7%) | loss: 10.265240 | lrm: 0.14 | dt: 2467ms | tok/sec: 53,130 | mfu: 81.6% | epoch: 1 | remaining: 3573s    
step 00022 (0.7%) | loss: 10.104853 | lrm: 0.15 | dt: 2430ms | tok/sec: 53,931 | mfu: 82.9% | epoch: 1 | remaining: 3571s    
step 00023 (0.8%) | loss: 9.932844 | lrm: 0.16 | dt: 2428ms | tok/sec: 53,993 | mfu: 83.0% | epoch: 1 | remaining: 3568s    
step 00024 (0.9%) | loss: 9.758039 | lrm: 0.18 | dt: 2548ms | tok/sec: 51,445 | mfu: 79.1% | epoch: 1 | remaining: 3566s    
step 00025 (1.0%) | loss: 9.568308 | lrm: 0.19 | dt: 2437ms | tok/sec: 53,793 | mfu: 82.7% | epoch: 1 | remaining: 3563s    
step 00026 (1.0%) | loss: 9.383656 | lrm: 0.20 | dt: 2445ms | tok/sec: 53,614 | mfu: 82.4% | epoch: 1 | remaining: 3561s    
step 00027 (1.1%) | loss: 9.177205 | lrm: 0.22 | dt: 2449ms | tok/sec: 53,528 | mfu: 82.3% | epoch: 1 | remaining: 3558s    
step 00028 (1.2%) | loss: 9.023103 | lrm: 0.23 | dt: 2464ms | tok/sec: 53,190 | mfu: 81.7% | epoch: 1 | remaining: 3556s    
step 00029 (1.2%) | loss: 8.837477 | lrm: 0.25 | dt: 2491ms | tok/sec: 52,611 | mfu: 80.8% | epoch: 1 | remaining: 3553s    
step 00030 (1.3%) | loss: 8.703597 | lrm: 0.26 | dt: 2454ms | tok/sec: 53,408 | mfu: 82.1% | epoch: 1 | remaining: 3551s    
step 00031 (1.4%) | loss: 8.518965 | lrm: 0.27 | dt: 2489ms | tok/sec: 52,666 | mfu: 80.9% | epoch: 1 | remaining: 3548s    
step 00073 (4.2%) | loss: 5.245153 | lrm: 0.85 | dt: 2431ms | tok/sec: 53,917 | mfu: 82.9% | epoch: 1 | remaining: 3445s    
step 00074 (4.3%) | loss: 5.202743 | lrm: 0.86 | dt: 2458ms | tok/sec: 53,321 | mfu: 81.9% | epoch: 1 | remaining: 3443s    
step 00075 (4.4%) | loss: 5.170922 | lrm: 0.87 | dt: 2430ms | tok/sec: 53,948 | mfu: 82.9% | epoch: 1 | remaining: 3440s    
step 00076 (4.4%) | loss: 5.086242 | lrm: 0.89 | dt: 2430ms | tok/sec: 53,932 | mfu: 82.9% | epoch: 1 | remaining: 3438s    
step 00077 (4.5%) | loss: 5.084296 | lrm: 0.90 | dt: 2450ms | tok/sec: 53,491 | mfu: 82.2% | epoch: 1 | remaining: 3435s    
step 00078 (4.6%) | loss: 5.040079 | lrm: 0.91 | dt: 2487ms | tok/sec: 52,702 | mfu: 81.0% | epoch: 1 | remaining: 3433s    
step 00079 (4.6%) | loss: 5.071938 | lrm: 0.93 | dt: 2449ms | tok/sec: 53,519 | mfu: 82.2% | epoch: 1 | remaining: 3430s    
step 00080 (4.7%) | loss: 4.999801 | lrm: 0.94 | dt: 2428ms | tok/sec: 53,978 | mfu: 82.9% | epoch: 1 | remaining: 3428s    
step 00081 (4.8%) | loss: 5.026678 | lrm: 0.96 | dt: 2453ms | tok/sec: 53,432 | mfu: 82.1% | epoch: 1 | remaining: 3425s    
step 00082 (4.8%) | loss: 5.016739 | lrm: 0.97 | dt: 2430ms | tok/sec: 53,940 | mfu: 82.9% | epoch: 1 | remaining: 3423s    
step 00083 (4.9%) | loss: 5.036720 | lrm: 0.98 | dt: 2432ms | tok/sec: 53,883 | mfu: 82.8% | epoch: 1 | remaining: 3421s    
step 00084 (5.0%) | loss: 4.951104 | lrm: 1.00 | dt: 2495ms | tok/sec: 52,528 | mfu: 80.7% | epoch: 1 | remaining: 3418s    
step 00085 (5.1%) | loss: 4.898711 | lrm: 1.00 | dt: 2472ms | tok/sec: 53,031 | mfu: 81.5% | epoch: 1 | remaining: 3416s    
step 00086 (5.1%) | loss: 4.967352 | lrm: 1.00 | dt: 2519ms | tok/sec: 52,038 | mfu: 80.0% | epoch: 1 | remaining: 3413s    
step 00087 (5.2%) | loss: 4.858661 | lrm: 1.00 | dt: 2491ms | tok/sec: 52,608 | mfu: 80.8% | epoch: 1 | remaining: 3411s    
step 00088 (5.3%) | loss: 4.753195 | lrm: 1.00 | dt: 2451ms | tok/sec: 53,481 | mfu: 82.2% | epoch: 1 | remaining: 3408s    
step 00089 (5.3%) | loss: 4.836206 | lrm: 1.00 | dt: 2446ms | tok/sec: 53,594 | mfu: 82.4% | epoch: 1 | remaining: 3406s    
step 00090 (5.4%) | loss: 4.802205 | lrm: 1.00 | dt: 2513ms | tok/sec: 52,154 | mfu: 80.1% | epoch: 1 | remaining: 3403s    
step 00091 (5.5%) | loss: 4.776528 | lrm: 1.00 | dt: 2442ms | tok/sec: 53,674 | mfu: 82.5% | epoch: 1 | remaining: 3401s    
step 00092 (5.5%) | loss: 4.671751 | lrm: 1.00 | dt: 2494ms | tok/sec: 52,549 | mfu: 80.7% | epoch: 1 | remaining: 3398s    
step 00093 (5.6%) | loss: 4.705165 | lrm: 1.00 | dt: 2521ms | tok/sec: 51,995 | mfu: 79.9% | epoch: 1 | remaining: 3396s    
step 00094 (5.7%) | loss: 4.719945 | lrm: 1.00 | dt: 2527ms | tok/sec: 51,860 | mfu: 79.7% | epoch: 1 | remaining: 3393s    
step 00095 (5.7%) | loss: 4.666338 | lrm: 1.00 | dt: 2482ms | tok/sec: 52,813 | mfu: 81.2% | epoch: 1 | remaining: 3391s    
step 00096 (5.8%) | loss: 4.696375 | lrm: 1.00 | dt: 2436ms | tok/sec: 53,812 | mfu: 82.7% | epoch: 1 | remaining: 3388s    
step 00097 (5.9%) | loss: 4.569689 | lrm: 1.00 | dt: 2437ms | tok/sec: 53,791 | mfu: 82.7% | epoch: 1 | remaining: 3386s    
step 00098 (5.9%) | loss: 4.537838 | lrm: 1.00 | dt: 2471ms | tok/sec: 53,051 | mfu: 81.5% | epoch: 1 | remaining: 3383s    
step 00099 (6.0%) | loss: 4.486039 | lrm: 1.00 | dt: 2445ms | tok/sec: 53,604 | mfu: 82.4% | epoch: 1 | remaining: 3381s    
step 00100 (6.1%) | loss: 4.498955 | lrm: 1.00 | dt: 2476ms | tok/sec: 52,928 | mfu: 81.3% | epoch: 1 | remaining: 3379s    
step 00101 (6.2%) | loss: 4.442397 | lrm: 1.00 | dt: 2475ms | tok/sec: 52,966 | mfu: 81.4% | epoch: 1 | remaining: 3376s    
step 00102 (6.2%) | loss: 4.320973 | lrm: 1.00 | dt: 2448ms | tok/sec: 53,549 | mfu: 82.3% | epoch: 1 | remaining: 3374s    
step 00103 (6.3%) | loss: 4.350940 | lrm: 1.00 | dt: 2489ms | tok/sec: 52,668 | mfu: 80.9% | epoch: 1 | remaining: 3371s    
step 00104 (6.4%) | loss: 4.316809 | lrm: 1.00 | dt: 2520ms | tok/sec: 52,012 | mfu: 79.9% | epoch: 1 | remaining: 3369s    
step 00105 (6.4%) | loss: 4.309545 | lrm: 1.00 | dt: 2474ms | tok/sec: 52,986 | mfu: 81.4% | epoch: 1 | remaining: 3366s    
step 00106 (6.5%) | loss: 4.315740 | lrm: 1.00 | dt: 2542ms | tok/sec: 51,571 | mfu: 79.2% | epoch: 1 | remaining: 3364s    
step 00107 (6.6%) | loss: 4.271765 | lrm: 1.00 | dt: 2519ms | tok/sec: 52,037 | mfu: 80.0% | epoch: 1 | remaining: 3361s    
step 00108 (6.6%) | loss: 4.323949 | lrm: 1.00 | dt: 2560ms | tok/sec: 51,195 | mfu: 78.7% | epoch: 1 | remaining: 3358s    
step 00109 (6.7%) | loss: 4.267785 | lrm: 1.00 | dt: 2501ms | tok/sec: 52,415 | mfu: 80.5% | epoch: 1 | remaining: 3356s    
step 00110 (6.8%) | loss: 4.143463 | lrm: 1.00 | dt: 2802ms | tok/sec: 46,780 | mfu: 71.9% | epoch: 1 | remaining: 3353s    
step 00111 (6.9%) | loss: 4.091655 | lrm: 1.00 | dt: 2739ms | tok/sec: 47,859 | mfu: 73.5% | epoch: 1 | remaining: 3350s    
step 00112 (6.9%) | loss: 4.041404 | lrm: 1.00 | dt: 2466ms | tok/sec: 53,147 | mfu: 81.7% | epoch: 1 | remaining: 3348s    
step 00113 (7.0%) | loss: 3.997961 | lrm: 1.00 | dt: 2437ms | tok/sec: 53,779 | mfu: 82.6% | epoch: 1 | remaining: 3346s    
step 00114 (7.1%) | loss: 4.033923 | lrm: 1.00 | dt: 2435ms | tok/sec: 53,838 | mfu: 82.7% | epoch: 1 | remaining: 3343s    
step 00115 (7.1%) | loss: 4.078379 | lrm: 1.00 | dt: 2431ms | tok/sec: 53,916 | mfu: 82.9% | epoch: 1 | remaining: 3341s    
step 00116 (7.2%) | loss: 4.123497 | lrm: 1.00 | dt: 2431ms | tok/sec: 53,919 | mfu: 82.9% | epoch: 1 | remaining: 3338s    
step 00117 (7.3%) | loss: 4.111346 | lrm: 1.00 | dt: 2434ms | tok/sec: 53,848 | mfu: 82.7% | epoch: 1 | remaining: 3336s    
step 00118 (7.3%) | loss: 4.049367 | lrm: 1.00 | dt: 2462ms | tok/sec: 53,236 | mfu: 81.8% | epoch: 1 | remaining: 3333s    
step 00119 (7.4%) | loss: 4.106321 | lrm: 1.00 | dt: 2469ms | tok/sec: 53,081 | mfu: 81.6% | epoch: 1 | remaining: 3331s    
step 00120 (7.5%) | loss: 4.122653 | lrm: 1.00 | dt: 2535ms | tok/sec: 51,711 | mfu: 79.5% | epoch: 1 | remaining: 3328s    
step 00121 (7.5%) | loss: 4.053283 | lrm: 1.00 | dt: 2482ms | tok/sec: 52,813 | mfu: 81.2% | epoch: 1 | remaining: 3326s    
